"Name","BSNR","Admin Email","Allgemeinen Chat aktivieren","Test account","Using video call","Total Active users","Doctor use video call","Total patients","Total Requests","Total questionnares","Care provider Type","Status","Created date"
"Praxisgemeinschaft Weber","","demo@demo.de","true","false","true","1","1","1","0","4","Praxis","Unlimited","10.07.2025"
"DevTestAuto_1752137009061","","phong+1752137009061@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","10.07.2025"
"Dr. med. Heribert Topp-Glücklich 0707","","vy.pham+0707@silentium.io","true","false","true","3","1","1","2","4","Praxis","Unlimited","07.07.2025"
"nhien+ehks1751613689656","","nhien+ehks1751613689656@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","04.07.2025"
"BSNR and NBSNR Tam","","nbsnr@tam.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","04.07.2025"
"nhien+04072025","","nhien+04072025@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","04.07.2025"
"nhien+bfb1751511755400","","nhien+bfb1751511755400@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","03.07.2025"
"phong+hzv_e1751355231685","","phong+hzv_e1751355231685@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","01.07.2025"
"nhien+medication1751340078229","","nhien+medication1751340078229@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","01.07.2025"
"vy.pham+521751339825915","","vy.pham+521751339825915@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","01.07.2025"
"phong+521751337621280","","phong+521751337621280@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","01.07.2025"
"nhien+medication1751265561861","","nhien+medication1751265561861@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","30.06.2025"
"hiepstaging30june","","hiep.phan+hiepstaging30june@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","30.06.2025"
"27060001","","an.vo+123@27060001silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","27.06.2025"
"Basic import","","basic@import.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","27.06.2025"
"vy.pham+521750841591803","","vy.pham+521750841591803@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","25.06.2025"
"phong+hzv_h1750650200214","","phong+hzv_h1750650200214@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","23.06.2025"
"phong+hzv_fg1750649704812","","phong+hzv_fg1750649704812@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","23.06.2025"
"phong+hzv_e1750648869246","","phong+hzv_e1750648869246@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","23.06.2025"
"phong+hzv_b1750647869307","","phong+hzv_b1750647869307@silentium.io","true","false","true","0","0","0","0","4","MVZ","Unlimited","23.06.2025"
"phong+hzv_a1750646445580","","phong+hzv_a1750646445580@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","23.06.2025"
"PTV Praxis Zertifizierung","","ptv@haevg.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","22.06.2025"
"Trung Staging 200625","981234376","trung+staging200625@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","20.06.2025"
"switch+test2006","","switch+test2006@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","20.06.2025"
"Full import","","tam@full.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","19.06.2025"
"hiep.phan+staging+19Jun+practiceA@silentium.io","","hiep.phan+staging+19jun+practicea@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","19.06.2025"
"Dr. med. Heribert Topp-Glücklich1","","vy.pham+19061@silentium.io","true","false","true","2","1","2","5","5","Praxis","Unlimited","19.06.2025"
"phong+hzv_a1750305155076","","phong+hzv_a1750305155076@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","19.06.2025"
"nhien+19062025","","nhien+19062025@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","19.06.2025"
"trung.nguyen+190625@silentium.io","981234888","trung+dev@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","19.06.2025"
"hiep.phan+staging+19Jun@silentium.io","","hiep.phan+staging+19jun@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","19.06.2025"
"Tam PTV","","tam@ptv.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","18.06.2025"
"phong+521750239868521","","phong+521750239868521@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","18.06.2025"
"PTV18060001","","an.vo+123@1806001silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","18.06.2025"
"vy.pham+18061@silentium.io","","vy.pham+18061@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","18.06.2025"
"Dr. med. Heribert Topp-Glücklich Vy","","vy.pham+1806@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","18.06.2025"
"huy.nguyen+1706","","huy.nguyen+1706@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","17.06.2025"
"PTVHE","","ptv@he.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","16.06.2025"
"PTVTest","","ptv@test.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","16.06.2025"
"dr.winker_1606","","danh.nguyen+1606@silentilum.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","16.06.2025"
"DevTestAuto_1749800634809","","phong+1749800634809@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","13.06.2025"
"phong+hzv_h1749700276946","","phong+hzv_h1749700276946@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","12.06.2025"
"phong+hzv_fg1749699609802","","phong+hzv_fg1749699609802@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","12.06.2025"
"DevTestAuto_1749699234386","","phong+1749699234386@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","12.06.2025"
"DevTestAuto_1749698575163","","phong+1749698575163@silentium.io","true","false","true","0","0","0","0","4","Praxis","Unlimited","12.06.2025"
"phong+hzv_e1749698474232","","phong+hzv_e1749698474232@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","12.06.2025"
"phong+hzv_b1749697198783","","phong+hzv_b1749697198783@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","12.06.2025"
"phong+hzv_a1749696095122","","phong+hzv_a1749696095122@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","12.06.2025"
"Gemeinschaftspraxis Dr. med. Topp-Glücklich/Müller","","am@testpraxis.de","true","false","true","0","0","0","0","4","Praxis","Unlimited","10.06.2025"
"Hzv_100620250001","","an.vo+123@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","10.06.2025"
"huy.nguyen+1006","","huy.nguyen+1006@silentium.io","true","true","true","0","0","0","0","4","Praxis","Unlimited","10.06.2025"
"phong+hzv_h1749539765092","","phong+hzv_h1749539765092@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","10.06.2025"
"phong+hzv_fg1749537465554","","phong+hzv_fg1749537465554@silentium.io","true","true","true","0","0","0","0","4","MVZ","Unlimited","10.06.2025"
